ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N13,N30,O115-122,O123-133,O134-145
5-1-6,18374.6775,0.3,6,0.00,3,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,0.00,A1G1F,unmodified,unmodified,2 x Core,2 x Core
6-0-0,18382.5323,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-0-0,18393.5617,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-0-0,18398.5735,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-1-0,18494.8216,0.0,0,99.98,1,18494.7049,0.1167,6,10,6,1,0,0,0,0,99.98,M5,A2G2F,unmodified,unmodified,unmodified
9-1-1,18494.8216,0.0,1,0.02,1,18494.7049,0.1167,6,10,6,1,0,0,0,0,0.02,A1G1F,M5-A1G1,unmodified,unmodified,unmodified
10-0-0,18560.4124,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-2-0,18592.8331,0.0,0,89.50,6,18592.7529,0.0801,4,9,8,0,0,0,0,0,70.93,A2G2,unmodified,1 x Core,2 x Core,1 x Core
11-2-1,18592.8331,0.0,1,4.13,6,18592.7529,0.0801,4,9,8,0,0,0,0,0,1.73,unmodified,A1G1,2 x Core,2 x Core,1 x Core
11-2-2,18592.8331,0.0,2,3.73,6,18592.7529,0.0801,4,9,8,0,0,0,0,0,2.09,A2G2,unmodified,unmodified,2 x Core,2 x Core
11-2-3,18592.8331,0.0,3,1.29,6,18592.7529,0.0801,4,9,8,0,0,0,0,0,0.95,A3G3,unmodified,unmodified,2 x Core,1 x Core
11-2-4,18592.8331,0.0,4,1.26,1,18592.7529,0.0801,4,9,8,0,0,0,0,0,1.26,A3G3,unmodified,1 x Core,1 x Core,1 x Core
11-2-5,18592.8331,0.0,5,0.08,3,18592.7529,0.0801,4,9,8,0,0,0,0,0,0.04,A3G3+LacN1,unmodified,unmodified,1 x Core,1 x Core
11-2-6,18592.8331,0.0,6,0.01,3,18592.7529,0.0801,4,9,8,0,0,0,0,0,0.00,A3G3+LacN1,unmodified,unmodified,2 x Core,unmodified
11-2-7,18592.8331,0.0,7,0.00,3,18592.7529,0.0801,4,9,8,0,0,0,0,0,0.00,A2G1,A1G1,unmodified,unmodified,1 x Core
11-0-0,18592.8331,0.0,8,0.00,3,18592.7529,0.0801,4,8,8,1,1,0,0,0,0.00,A2G0F,A1G1,unmodified,unmodified,1 x Core
11-2-8,18592.8331,0.0,9,0.00,1,18592.7529,0.0801,4,9,8,0,0,0,0,0,0.00,A2G1,A2G2,unmodified,unmodified,unmodified
11-0-1,18592.8331,0.0,10,0.00,1,18592.7529,0.0801,4,8,8,1,1,0,0,0,0.00,A2G0F,A2G2,unmodified,unmodified,unmodified
12-0-0,18594.6264,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-0-0,18625.6069,0.0,0,89.50,6,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,70.93,A2G2,unmodified,1 x Core,2 x Core,1 x Core
13-0-1,18625.6069,0.0,1,4.13,6,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,1.73,unmodified,A1G1,2 x Core,2 x Core,1 x Core
13-0-2,18625.6069,0.0,2,3.73,6,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,2.09,A2G2,unmodified,unmodified,2 x Core,2 x Core
13-0-3,18625.6069,0.0,3,1.29,6,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,0.95,A3G3,unmodified,unmodified,2 x Core,1 x Core
13-0-4,18625.6069,0.0,4,1.26,1,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,1.26,A3G3,unmodified,1 x Core,1 x Core,1 x Core
13-0-5,18625.6069,0.0,5,0.08,3,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,0.04,A3G3+LacN1,unmodified,unmodified,1 x Core,1 x Core
13-0-6,18625.6069,0.0,6,0.01,3,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,0.00,A3G3+LacN1,unmodified,unmodified,2 x Core,unmodified
13-0-7,18625.6069,0.0,7,0.00,3,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,0.00,A2G1,A1G1,unmodified,unmodified,1 x Core
13-0-8,18625.6069,0.0,8,0.00,1,18625.7428,-0.1359,-7,9,8,0,2,1,0,0,0.00,A2G1,A2G2,unmodified,unmodified,unmodified
14-0-0,18687.7126,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-0-0,18695.6894,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-0-0,18705.6819,0.1,0,92.89,3,18705.7425,-0.0606,-3,12,6,0,2,1,0,0,71.07,M5,M5-A1G1,unmodified,unmodified,1 x Core
16-0-1,18705.6819,0.1,1,5.69,3,18705.7425,-0.0606,-3,12,6,0,2,1,0,0,4.35,M7,A1G1,unmodified,unmodified,1 x Core
16-0-2,18705.6819,0.1,2,1.30,1,18705.7425,-0.0606,-3,12,6,0,2,1,0,0,1.30,M5-A1G1,M5-A1G1,unmodified,unmodified,unmodified
16-0-3,18705.6819,0.1,3,0.12,1,18705.7425,-0.0606,-3,12,6,0,2,1,0,0,0.12,M7,A2G2,unmodified,unmodified,unmodified
17-0-0,18707.6565,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-0-0,18708.6903,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-2-0,18713.7705,0.1,0,99.56,3,18713.7792,-0.0087,-0,11,7,0,0,0,0,0,78.73,M6,unmodified,2 x Core,2 x Core,1 x Core
19-2-1,18713.7705,0.1,1,0.29,3,18713.7792,-0.0087,-0,11,7,0,0,0,0,0,0.15,M5,A1G1,unmodified,1 x Core,1 x Core
19-2-2,18713.7705,0.1,2,0.06,6,18713.7792,-0.0087,-0,11,7,0,0,0,0,0,0.03,A1G1,M5-A1G1,unmodified,unmodified,1 x Core
19-2-3,18713.7705,0.1,3,0.03,3,18713.7792,-0.0087,-0,11,7,0,0,0,0,0,0.02,M5,A2G2,unmodified,unmodified,1 x Core
19-2-4,18713.7705,0.1,4,0.03,2,18713.7792,-0.0087,-0,11,7,0,0,0,0,0,0.03,A2G2,M5-A1G1,unmodified,unmodified,unmodified
19-2-5,18713.7705,0.1,5,0.02,3,18713.7792,-0.0087,-0,11,7,0,0,0,0,0,0.02,M5,A1G1,unmodified,2 x Core,unmodified
19-0-0,18713.7705,0.1,6,0.01,1,18713.7792,-0.0087,-0,9,7,2,2,0,0,0,0.01,A1G1F,A2G2F,unmodified,unmodified,unmodified
20-0-0,18722.7174,0.3,0,100.00,1,18722.8159,-0.0986,-5,8,8,2,0,0,0,0,100.00,A2G0F,A2G2F,unmodified,unmodified,unmodified
21-1-0,18739.6259,16.2,0,94.17,6,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,74.26,unmodified,A2G2F,1 x Core,2 x Core,1 x Core
21-1-1,18739.6259,16.2,1,3.93,6,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,2.19,unmodified,A2G2F,unmodified,2 x Core,2 x Core
21-1-2,18739.6259,16.2,2,0.95,12,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,0.66,unmodified,A3G3F,unmodified,2 x Core,1 x Core
21-1-3,18739.6259,16.2,3,0.94,2,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,0.87,unmodified,A3G3F,1 x Core,1 x Core,1 x Core
21-1-4,18739.6259,16.2,4,0.01,3,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,0.00,A3G3F+LacN1,unmodified,unmodified,1 x Core,1 x Core
21-1-5,18739.6259,16.2,5,0.01,3,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,0.01,A1G1F,unmodified,2 x Core,2 x Core,1 x Core
21-1-6,18739.6259,16.2,6,0.00,1,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,0.00,A2G1,A2G2F,unmodified,unmodified,unmodified
21-1-7,18739.6259,16.2,7,0.00,3,18739.8108,-0.1849,-10,9,8,1,0,1,0,0,0.00,A3G3F+LacN1,unmodified,unmodified,2 x Core,unmodified
21-0-0,18739.6259,16.2,8,0.00,1,18739.8108,-0.1849,-10,8,8,2,1,1,0,0,0.00,A2G0F,A2G2F,unmodified,unmodified,unmodified
22-0-0,18752.7868,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-1-0,18754.7021,2.4,0,94.16,6,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,74.26,unmodified,A2G2F,1 x Core,2 x Core,1 x Core
23-1-1,18754.7021,2.4,1,3.93,6,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,2.19,unmodified,A2G2F,unmodified,2 x Core,2 x Core
23-1-2,18754.7021,2.4,2,0.95,12,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,0.66,unmodified,A3G3F,unmodified,2 x Core,1 x Core
23-1-3,18754.7021,2.4,3,0.94,2,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,0.87,unmodified,A3G3F,1 x Core,1 x Core,1 x Core
23-1-4,18754.7021,2.4,4,0.01,3,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,0.00,A3G3F+LacN1,unmodified,unmodified,1 x Core,1 x Core
23-1-5,18754.7021,2.4,5,0.01,3,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,0.01,A1G1F,unmodified,2 x Core,2 x Core,1 x Core
23-2-0,18754.7021,2.4,6,0.00,6,18754.8058,-0.1037,-6,10,8,0,0,0,0,0,0.00,A2G2,A1G1,unmodified,unmodified,1 x Core
23-1-6,18754.7021,2.4,7,0.00,1,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,0.00,A2G1,A2G2F,unmodified,unmodified,unmodified
23-1-7,18754.7021,2.4,8,0.00,3,18754.8058,-0.1037,-6,9,8,1,1,0,0,0,0.00,A3G3F+LacN1,unmodified,unmodified,2 x Core,unmodified
23-2-1,18754.7021,2.4,9,0.00,3,18754.8058,-0.1037,-6,10,8,0,0,0,0,0,0.00,A1G1,A1G1,unmodified,1 x Core,1 x Core
23-0-0,18754.7021,2.4,10,0.00,1,18754.8058,-0.1037,-6,8,8,2,2,0,0,0,0.00,A2G0F,A2G2F,unmodified,unmodified,unmodified
23-2-2,18754.7021,2.4,11,0.00,3,18754.8058,-0.1037,-6,10,8,0,0,0,0,0,0.00,A1G1,A1G1,unmodified,2 x Core,unmodified
23-2-3,18754.7021,2.4,12,0.00,1,18754.8058,-0.1037,-6,10,8,0,0,0,0,0,0.00,A2G2,A2G2,unmodified,unmodified,unmodified
23-2-4,18754.7021,2.4,13,0.00,1,18754.8058,-0.1037,-6,10,8,0,0,0,0,0,0.00,A3G3,A1G1,unmodified,unmodified,unmodified
24-0-0,18757.7408,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-0-0,18763.7101,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-0-0,18769.6666,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27-0-0,18772.7272,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28-1-0,18779.7140,0.1,0,100.00,3,18779.8374,-0.1234,-7,8,9,1,0,0,0,0,79.08,A2G0F,unmodified,2 x Core,2 x Core,1 x Core
29-0-0,18783.6263,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-0-0,18792.8036,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31-1-0,18851.5622,0.5,0,73.32,3,18851.8004,-0.2382,-13,13,6,0,1,1,0,0,56.10,M6,M5-A1G1,unmodified,unmodified,1 x Core
31-0-0,18851.5622,0.5,1,26.68,1,18851.8004,-0.2382,-13,12,6,1,2,1,0,0,26.68,M7,A2G2F,unmodified,unmodified,unmodified
32-0-0,18852.6787,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33-0-0,18854.6946,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34-0-0,18855.0895,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-1-0,18860.7574,0.1,0,98.38,3,18860.8371,-0.0797,-4,11,7,1,0,1,0,0,75.27,M5,A2G2F,unmodified,unmodified,1 x Core
35-1-1,18860.7574,0.1,1,1.52,2,18860.8371,-0.0797,-4,11,7,1,0,1,0,0,1.38,M5-A1G1,A2G2F,unmodified,unmodified,unmodified
35-1-2,18860.7574,0.1,2,0.09,1,18860.8371,-0.0797,-4,11,7,1,0,1,0,0,0.09,M5,A3G3F,unmodified,unmodified,unmodified
35-1-3,18860.7574,0.1,3,0.02,3,18860.8371,-0.0797,-4,11,7,1,0,1,0,0,0.02,A1G1F,M5-A1G1,unmodified,unmodified,1 x Core
36-0-0,18868.8151,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-0-0,18939.6070,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38-0-0,18941.7656,0.1,0,84.63,3,18941.8902,-0.1246,-7,9,9,1,0,0,0,0,45.02,A2G0F,A1G1,unmodified,1 x Core,1 x Core
38-0-1,18941.7656,0.1,1,9.35,3,18941.8902,-0.1246,-7,9,9,1,0,0,0,0,7.15,A2G0F,A2G2,unmodified,unmodified,1 x Core
38-0-2,18941.7656,0.1,2,6.02,3,18941.8902,-0.1246,-7,9,9,1,0,0,0,0,4.44,A2G0F,A1G1,unmodified,2 x Core,unmodified
39-0-0,18946.8057,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-0-0,18971.8469,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41-0-0,18976.7583,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-0-0,18991.7617,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43-0-0,18998.8068,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44-0-0,18999.8347,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-0-0,19005.7839,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46-0-0,19015.8248,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47-0-0,19029.8496,0.0,0,100.00,3,19029.8481,0.0015,0,14,6,0,2,1,0,0,76.51,M7,M5-A1G1,unmodified,unmodified,1 x Core
48-0-0,19039.8229,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49-0-0,19046.7697,0.2,0,87.37,1,19046.9216,-0.1519,-8,10,8,2,0,0,0,0,87.37,A2G2F,A2G2F,unmodified,unmodified,unmodified
49-0-1,19046.7697,0.2,1,12.62,3,19046.9216,-0.1519,-8,10,8,2,0,0,0,0,9.66,A1G1F,A2G2F,unmodified,unmodified,1 x Core
49-0-2,19046.7697,0.2,2,0.01,1,19046.9216,-0.1519,-8,10,8,2,0,0,0,0,0.01,A1G1F,A3G3F,unmodified,unmodified,unmodified
50-0-0,19047.9414,0.3,0,87.37,1,19047.9216,0.0198,1,10,8,2,0,1,0,0,87.37,A2G2F,A2G2F,unmodified,unmodified,unmodified
50-0-1,19047.9414,0.3,1,12.62,3,19047.9216,0.0198,1,10,8,2,0,1,0,0,9.66,A1G1F,A2G2F,unmodified,unmodified,1 x Core
50-0-2,19047.9414,0.3,2,0.01,1,19047.9216,0.0198,1,10,8,2,0,1,0,0,0.01,A1G1F,A3G3F,unmodified,unmodified,unmodified
51-0-0,19052.7876,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52-0-0,19059.1335,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53-0-0,19059.8282,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54-0-0,19060.7936,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-0-0,19067.7593,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56-0-0,19069.8110,0.5,0,82.23,3,19069.8747,-0.0637,-3,13,7,0,2,0,0,0,43.74,M5,M5-A1G1,unmodified,1 x Core,1 x Core
56-0-1,19069.8110,0.5,1,5.97,3,19069.8747,-0.0637,-3,13,7,0,2,0,0,0,4.56,M5-A1G1,M5-A1G1,unmodified,unmodified,1 x Core
56-0-2,19069.8110,0.5,2,5.85,3,19069.8747,-0.0637,-3,13,7,0,2,0,0,0,4.32,M5,M5-A1G1,unmodified,2 x Core,unmodified
56-0-3,19069.8110,0.5,3,5.04,3,19069.8747,-0.0637,-3,13,7,0,2,0,0,0,2.68,M7,A1G1,unmodified,1 x Core,1 x Core
56-0-4,19069.8110,0.5,4,0.56,3,19069.8747,-0.0637,-3,13,7,0,2,0,0,0,0.43,M7,A2G2,unmodified,unmodified,1 x Core
56-0-5,19069.8110,0.5,5,0.36,3,19069.8747,-0.0637,-3,13,7,0,2,0,0,0,0.26,M7,A1G1,unmodified,2 x Core,unmodified
57-0-0,19076.8407,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58-2-0,19078.8205,0.3,0,61.12,1,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,61.12,M6,unmodified,2 x Core,2 x Core,2 x Core
58-0-0,19078.8205,0.3,1,16.65,1,19078.9114,-0.0909,-5,10,8,2,2,0,0,0,16.65,A2G2F,A2G2F,unmodified,unmodified,unmodified
58-2-1,19078.8205,0.3,2,6.68,6,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,5.02,A2G2,M5-A1G1,unmodified,unmodified,1 x Core
58-2-2,19078.8205,0.3,3,4.07,6,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,3.01,M5,A1G1,unmodified,2 x Core,1 x Core
58-2-3,19078.8205,0.3,4,4.01,1,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,4.01,M5,A1G1,1 x Core,1 x Core,1 x Core
58-2-4,19078.8205,0.3,5,3.13,6,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,1.10,A1G1,M5-A1G1,unmodified,1 x Core,1 x Core
58-0-1,19078.8205,0.3,6,2.40,3,19078.9114,-0.0909,-5,10,8,2,2,0,0,0,1.84,A1G1F,A2G2F,unmodified,unmodified,1 x Core
58-2-5,19078.8205,0.3,7,1.60,3,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,0.85,M5,A2G2,unmodified,1 x Core,1 x Core
58-2-6,19078.8205,0.3,8,0.22,6,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,0.11,A1G1,M5-A1G1,unmodified,2 x Core,unmodified
58-2-7,19078.8205,0.3,9,0.11,3,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,0.08,M5,A2G2,unmodified,2 x Core,unmodified
58-2-8,19078.8205,0.3,10,0.01,1,19078.9114,-0.0909,-5,12,8,0,0,0,0,0,0.01,A3G3,M5-A1G1,unmodified,unmodified,unmodified
58-0-2,19078.8205,0.3,11,0.00,1,19078.9114,-0.0909,-5,10,8,2,2,0,0,0,0.00,A1G1F,A3G3F,unmodified,unmodified,unmodified
59-0-0,19087.8260,0.4,0,99.91,3,19087.9481,-0.1221,-6,9,9,2,0,0,0,0,76.45,A2G0F,A2G2F,unmodified,unmodified,1 x Core
59-0-1,19087.8260,0.4,1,0.09,1,19087.9481,-0.1221,-6,9,9,2,0,0,0,0,0.09,A2G0F,A3G3F,unmodified,unmodified,unmodified
60-0-0,19087.8689,1.5,0,99.91,3,19087.9481,-0.0792,-4,9,9,2,0,0,0,0,76.45,A2G0F,A2G2F,unmodified,unmodified,1 x Core
60-0-1,19087.8689,1.5,1,0.09,1,19087.9481,-0.0792,-4,9,9,2,0,0,0,0,0.09,A2G0F,A3G3F,unmodified,unmodified,unmodified
61-1-0,19104.8012,100.0,0,93.40,6,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,70.69,unmodified,A2G2F,2 x Core,2 x Core,1 x Core
61-1-1,19104.8012,100.0,1,6.21,6,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,4.76,unmodified,A3G3F,1 x Core,2 x Core,1 x Core
61-1-2,19104.8012,100.0,2,0.26,6,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,0.14,unmodified,A3G3F,unmodified,2 x Core,2 x Core
61-1-3,19104.8012,100.0,3,0.06,3,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,0.05,A2G1,A2G2F,unmodified,unmodified,1 x Core
61-1-4,19104.8012,100.0,4,0.03,6,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,0.02,A3G3F+LacN1,unmodified,unmodified,2 x Core,1 x Core
61-1-5,19104.8012,100.0,5,0.03,1,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,0.03,A3G3F+LacN1,unmodified,1 x Core,1 x Core,1 x Core
61-0-0,19104.8012,100.0,6,0.01,3,19104.9430,-0.1419,-7,9,9,2,1,1,0,0,0.00,A2G0F,A2G2F,unmodified,unmodified,1 x Core
61-1-6,19104.8012,100.0,7,0.00,1,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,0.00,A1G1F,unmodified,2 x Core,2 x Core,2 x Core
61-1-7,19104.8012,100.0,8,0.00,1,19104.9430,-0.1419,-7,10,9,1,0,1,0,0,0.00,A2G1,A3G3F,unmodified,unmodified,unmodified
61-0-1,19104.8012,100.0,9,0.00,1,19104.9430,-0.1419,-7,9,9,2,1,1,0,0,0.00,A2G0F,A3G3F,unmodified,unmodified,unmodified
62-1-0,19120.8172,22.9,0,93.37,6,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,70.67,unmodified,A2G2F,2 x Core,2 x Core,1 x Core
62-1-1,19120.8172,22.9,1,6.21,6,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,4.76,unmodified,A3G3F,1 x Core,2 x Core,1 x Core
62-1-2,19120.8172,22.9,2,0.26,6,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,0.14,unmodified,A3G3F,unmodified,2 x Core,2 x Core
62-1-3,19120.8172,22.9,3,0.06,3,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,0.05,A2G1,A2G2F,unmodified,unmodified,1 x Core
62-1-4,19120.8172,22.9,4,0.03,6,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,0.02,A3G3F+LacN1,unmodified,unmodified,2 x Core,1 x Core
62-1-5,19120.8172,22.9,5,0.03,1,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,0.03,A3G3F+LacN1,unmodified,1 x Core,1 x Core,1 x Core
62-2-0,19120.8172,22.9,6,0.02,6,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.01,A2G2,A1G1,unmodified,1 x Core,1 x Core
62-0-0,19120.8172,22.9,7,0.01,3,19120.9380,-0.1207,-6,9,9,2,2,1,0,0,0.00,A2G0F,A2G2F,unmodified,unmodified,1 x Core
62-2-1,19120.8172,22.9,8,0.00,3,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A2G2,A2G2,unmodified,unmodified,1 x Core
62-2-2,19120.8172,22.9,9,0.00,6,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A1G1,A1G1,unmodified,2 x Core,1 x Core
62-2-3,19120.8172,22.9,10,0.00,1,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A1G1,A1G1,1 x Core,1 x Core,1 x Core
62-2-4,19120.8172,22.9,11,0.00,6,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A2G2,A1G1,unmodified,2 x Core,unmodified
62-1-6,19120.8172,22.9,12,0.00,1,19120.9380,-0.1207,-6,10,9,1,1,1,0,0,0.00,A1G1F,unmodified,2 x Core,2 x Core,2 x Core
62-2-5,19120.8172,22.9,13,0.00,3,19120.9380,-0.1207,-6,11,9,0,0,1,0,0,0.00,A3G3,A1G1,unmodified,unmodified,1 x Core
