ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N52,N78
30-2-1,12987.4697,0.0,1,22.78,2,12987.5669,-0.0972,-7,11,5,0,0,1,0,0,17.52,A1G1,M7
31-0-0,12997.4337,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32-0-0,13006.4807,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33-2-0,13011.5115,0.0,0,100.00,1,13011.5985,-0.0870,-7,9,6,1,0,0,0,0,100.00,A2G0F,M6
34-1-0,13027.4764,1.4,0,97.26,2,13027.5935,-0.1170,-9,10,6,0,0,0,0,0,89.47,M5,A2G2
34-1-1,13027.4764,1.4,1,2.55,2,13027.5935,-0.1170,-9,10,6,0,0,0,0,0,1.37,M5-A1G1,A1G1
34-1-2,13027.4764,1.4,2,0.18,2,13027.5935,-0.1170,-9,10,6,0,0,0,0,0,0.13,M6,A2G1
34-2-0,13027.4764,1.4,3,0.00,1,13027.5935,-0.1170,-9,9,6,1,1,0,0,0,0.00,A2G0F,M6
35-0-0,13033.5042,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36-0-0,13034.4935,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37-0-0,13034.5096,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38-1-0,13043.5464,0.0,0,97.26,2,13043.5884,-0.0420,-3,10,6,0,1,0,0,0,89.47,M5,A2G2
38-1-1,13043.5464,0.0,1,2.55,2,13043.5884,-0.0420,-3,10,6,0,1,0,0,0,1.37,M5-A1G1,A1G1
38-1-2,13043.5464,0.0,2,0.18,2,13043.5884,-0.0420,-3,10,6,0,1,0,0,0,0.13,M6,A2G1
38-0-0,13043.5464,0.0,3,0.00,1,13043.5884,-0.0420,-3,9,6,1,2,0,0,0,0.00,A2G0F,M6
39-1-0,13044.5483,0.1,0,97.26,2,13044.5884,-0.0400,-3,10,6,0,1,1,0,0,89.47,M5,A2G2
39-1-1,13044.5483,0.1,1,2.55,2,13044.5884,-0.0400,-3,10,6,0,1,1,0,0,1.37,M5-A1G1,A1G1
39-1-2,13044.5483,0.1,2,0.18,2,13044.5884,-0.0400,-3,10,6,0,1,1,0,0,0.13,M6,A2G1
39-0-0,13044.5483,0.1,3,0.00,1,13044.5884,-0.0400,-3,9,6,1,2,1,0,0,0.00,A2G0F,M6
40-0-0,13045.4789,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41-0-0,13052.4982,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42-0-0,13052.5156,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43-0-0,13052.5168,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44-0-0,13059.5279,0.0,0,97.27,2,13059.5833,-0.0554,-4,10,6,0,2,0,0,0,89.47,M5,A2G2
44-0-1,13059.5279,0.0,1,2.55,2,13059.5833,-0.0554,-4,10,6,0,2,0,0,0,1.37,M5-A1G1,A1G1
44-0-2,13059.5279,0.0,2,0.18,2,13059.5833,-0.0554,-4,10,6,0,2,0,0,0,0.13,M6,A2G1
45-0-0,13060.5103,0.0,0,97.27,2,13060.5833,-0.0729,-6,10,6,0,2,1,0,0,89.47,M5,A2G2
45-0-1,13060.5103,0.0,1,2.55,2,13060.5833,-0.0729,-6,10,6,0,2,1,0,0,1.37,M5-A1G1,A1G1
45-0-2,13060.5103,0.0,2,0.18,2,13060.5833,-0.0729,-6,10,6,0,2,1,0,0,0.13,M6,A2G1
46-0-0,13061.5243,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47-2-0,13068.5058,3.0,0,100.00,2,13068.6200,-0.1142,-9,9,7,0,0,0,0,0,82.51,A1G1,A2G2
48-1-0,13085.5513,0.3,0,100.00,2,13085.6149,-0.0636,-5,9,7,0,1,1,0,0,82.51,A1G1,A2G2
49-0-0,13092.5221,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-2-0,13094.5225,0.0,0,100.00,1,13094.6516,-0.1291,-10,7,8,1,0,1,0,0,100.00,A2G0F,A2G1
51-0-0,13102.5482,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52-0-0,13103.5510,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53-2-0,13109.5315,0.3,0,99.17,1,13109.6466,-0.1150,-9,8,8,0,0,0,0,0,99.17,A2G1,A2G1
53-1-0,13109.5315,0.3,1,0.83,1,13109.6466,-0.1150,-9,7,8,1,1,0,0,0,0.83,A2G0F,A2G1
54-0-0,13112.5201,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-0-0,13118.5197,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56-0-0,13119.5497,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57-1-0,13123.5405,0.0,0,100.00,2,13123.5881,-0.0476,-4,13,4,0,1,0,0,0,81.73,M6,M7
58-1-0,13126.5262,0.0,0,99.17,1,13126.6415,-0.1152,-9,8,8,0,1,1,0,0,99.17,A2G1,A2G1
58-0-0,13126.5262,0.0,1,0.83,1,13126.6415,-0.1152,-9,7,8,1,2,1,0,0,0.83,A2G0F,A2G1
59-1-0,13126.5549,0.0,0,99.17,1,13126.6415,-0.0866,-7,8,8,0,1,1,0,0,99.17,A2G1,A2G1
59-0-0,13126.5549,0.0,1,0.83,1,13126.6415,-0.0866,-7,7,8,1,2,1,0,0,0.83,A2G0F,A2G1
60-0-0,13128.4170,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61-0-0,13131.5210,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62-0-0,13132.6105,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63-0-0,13140.5282,0.0,0,100.00,2,13140.5830,-0.0549,-4,13,4,0,2,1,0,0,81.73,M6,M7
64-0-0,13141.5759,0.1,0,100.00,1,13141.6364,-0.0605,-5,8,8,0,2,0,0,0,100.00,A2G1,A2G1
65-0-0,13144.5525,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66-2-0,13149.5306,0.1,0,100.00,2,13149.6197,-0.0892,-7,12,5,0,0,1,0,0,53.80,M6,M5-A1G1
67-0-0,13158.5557,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68-0-0,13159.4999,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69-0-0,13162.5915,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-0-0,13167.5109,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71-0-0,13169.5426,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72-0-0,13170.6523,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73-0-0,13172.5122,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74-2-0,13174.5630,0.0,0,99.94,2,13174.6514,-0.0884,-7,10,6,1,0,1,0,0,73.82,M5,A2G2F
74-2-1,13174.5630,0.0,1,0.06,1,13174.6514,-0.0884,-7,10,6,1,0,1,0,0,0.06,A2G0F,M7
75-0-0,13177.5774,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76-0-0,13180.5756,0.1,0,100.00,2,13180.6096,-0.0339,-3,12,5,0,2,0,0,0,53.80,M6,M5-A1G1
77-2-0,13189.5472,0.5,0,88.92,2,13189.6463,-0.0991,-8,11,6,0,0,0,0,0,76.79,M6,A2G2
77-1-0,13189.5472,0.5,1,10.03,2,13189.6463,-0.0991,-8,10,6,1,1,0,0,0,7.41,M5,A2G2F
77-2-1,13189.5472,0.5,2,1.04,2,13189.6463,-0.0991,-8,11,6,0,0,0,0,0,0.67,A2G1,M7
77-1-1,13189.5472,0.5,3,0.01,1,13189.6463,-0.0991,-8,10,6,1,1,0,0,0,0.01,A2G0F,M7
78-0-0,13197.5504,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79-0-0,13198.5591,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-0-0,13201.5479,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81-1-0,13205.5848,0.0,0,88.92,2,13205.6412,-0.0564,-4,11,6,0,1,0,0,0,76.79,M6,A2G2
81-0-0,13205.5848,0.0,1,10.03,2,13205.6412,-0.0564,-4,10,6,1,2,0,0,0,7.41,M5,A2G2F
81-1-1,13205.5848,0.0,2,1.04,2,13205.6412,-0.0564,-4,11,6,0,1,0,0,0,0.67,A2G1,M7
81-0-1,13205.5848,0.0,3,0.01,1,13205.6412,-0.0564,-4,10,6,1,2,0,0,0,0.01,A2G0F,M7
82-0-0,13210.5467,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83-2-0,13214.5916,0.1,0,99.88,2,13214.6779,-0.0863,-7,9,7,1,0,0,0,0,53.67,A1G1,A2G2F
83-2-1,13214.5916,0.1,1,0.12,1,13214.6779,-0.0863,-7,9,7,1,0,0,0,0,0.12,A2G0F,M5-A1G1
84-0-0,13218.5809,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85-0-0,13222.5664,0.0,0,98.84,2,13222.6361,-0.0697,-5,11,6,0,2,1,0,0,85.36,M6,A2G2
85-0-1,13222.5664,0.0,1,1.16,2,13222.6361,-0.0697,-5,11,6,0,2,1,0,0,0.75,A2G1,M7
86-1-0,13230.5623,6.5,0,68.74,2,13230.6728,-0.1105,-8,9,7,1,1,0,0,0,36.93,A1G1,A2G2F
86-2-0,13230.5623,6.5,1,31.18,2,13230.6728,-0.1105,-8,10,7,0,0,0,0,0,21.15,M5-A1G1,A2G1
86-1-1,13230.5623,6.5,2,0.08,1,13230.6728,-0.1105,-8,9,7,1,1,0,0,0,0.08,A2G0F,M5-A1G1
87-0-0,13236.5802,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88-0-0,13247.6135,0.7,0,68.74,2,13247.6677,-0.0542,-4,9,7,1,2,1,0,0,36.93,A1G1,A2G2F
88-1-0,13247.6135,0.7,1,31.18,2,13247.6677,-0.0542,-4,10,7,0,1,1,0,0,21.15,M5-A1G1,A2G1
88-0-1,13247.6135,0.7,2,0.08,1,13247.6677,-0.0542,-4,9,7,1,2,1,0,0,0.08,A2G0F,M5-A1G1
89-0-0,13249.5656,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90-0-0,13249.5702,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91-0-0,13266.6086,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92-0-0,13273.5889,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93-0-0,13283.5783,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94-0-0,13291.5794,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95-0-0,13292.6011,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96-0-0,13293.5765,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97-0-0,13299.6012,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98-0-0,13300.5713,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99-0-0,13302.5984,0.1,0,100.00,1,13302.6358,-0.0374,-3,14,4,0,2,1,0,0,100.00,M7,M7
100-0-0,13308.6253,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101-0-0,13309.5796,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102-2-0,13311.5947,0.0,0,100.00,2,13311.6726,-0.0779,-6,13,5,0,0,1,0,0,79.34,M5-A1G1,M7
103-0-0,13316.6149,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104-1-0,13319.5381,0.1,0,100.00,1,13319.7093,-0.1712,-13,10,6,2,0,0,0,0,100.00,A2G2F2,M5
105-0-0,13320.1144,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106-1-0,13320.9375,0.0,0,100.00,1,13320.7093,0.2282,17,10,6,2,0,1,0,0,100.00,A2G2F2,M5
107-0-0,13322.6109,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108-0-0,13325.0873,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109-0-0,13325.6246,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110-0-0,13328.5516,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111-0-0,13331.5660,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112-0-0,13331.6212,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113-0-0,13333.6186,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114-0-0,13336.5775,0.0,0,93.43,2,13336.7042,-0.1267,-9,11,6,1,0,1,0,0,56.92,M6,A2G2F
114-2-0,13336.5775,0.0,1,6.57,1,13336.7042,-0.1267,-9,10,6,2,1,1,0,0,6.57,A2G2F2,M5
115-0-0,13339.6171,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116-0-0,13346.6365,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117-0-0,13354.6169,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118-0-0,13362.6405,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119-0-0,13370.6045,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120-0-0,13375.5973,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121-1-0,13376.6530,0.3,0,100.00,1,13376.7307,-0.0778,-6,9,7,2,1,0,0,0,100.00,A2G2F2,A1G1
122-0-0,13379.6381,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123-0-0,13385.6021,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124-0-0,13386.6435,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125-0-0,13387.6079,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126-2-0,13392.6318,2.9,0,90.30,2,13392.7257,-0.0939,-7,11,7,0,0,0,0,0,76.28,M5-A1G1,A2G2
126-2-1,13392.6318,2.9,1,9.64,2,13392.7257,-0.0939,-7,11,7,0,0,0,0,0,9.42,M5,A3G3
126-0-0,13392.6318,2.9,2,0.05,1,13392.7257,-0.0939,-7,9,7,2,2,0,0,0,0.05,A2G2F2,A1G1
127-0-0,13400.6312,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128-0-0,13404.6417,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129-0-0,13405.6567,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130-1-0,13408.6435,0.2,0,90.35,2,13408.7206,-0.0771,-6,11,7,0,1,0,0,0,76.32,M5-A1G1,A2G2
130-1-1,13408.6435,0.2,1,9.65,2,13408.7206,-0.0771,-6,11,7,0,1,0,0,0,9.42,M5,A3G3
131-1-0,13417.6582,1.7,0,99.68,2,13417.7573,-0.0990,-7,9,8,1,0,0,0,0,60.95,A2G2F,A2G1
131-2-0,13417.6582,1.7,1,0.32,1,13417.7573,-0.0991,-7,8,8,2,1,0,0,0,0.32,A2G0F,A2G2F
132-2-0,13433.6794,100.0,0,98.98,1,13433.7522,-0.0728,-5,10,8,0,0,0,0,0,98.98,A2G2,A2G2
132-2-1,13433.6794,100.0,1,0.93,2,13433.7522,-0.0728,-5,10,8,0,0,0,0,0,0.88,A1G1,A3G3
132-1-0,13433.6794,100.0,2,0.09,2,13433.7522,-0.0728,-5,9,8,1,1,0,0,0,0.06,A2G2F,A2G1
132-0-0,13433.6794,100.0,3,0.00,1,13433.7522,-0.0728,-5,8,8,2,2,0,0,0,0.00,A2G0F,A2G2F
133-0-0,13439.6366,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134-1-0,13450.6658,11.6,0,98.98,1,13450.7471,-0.0813,-6,10,8,0,1,1,0,0,98.98,A2G2,A2G2
134-1-1,13450.6658,11.6,1,0.93,2,13450.7471,-0.0813,-6,10,8,0,1,1,0,0,0.88,A1G1,A3G3
134-0-0,13450.6658,11.6,2,0.09,2,13450.7471,-0.0813,-6,9,8,1,2,1,0,0,0.06,A2G2F,A2G1
135-0-0,13457.6431,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136-0-0,13460.6657,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137-0-0,13461.6645,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138-0-0,13467.7037,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139-0-0,13468.6325,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140-0-0,13475.6181,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141-0-0,13477.6308,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142-0-0,13477.6421,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143-0-0,13485.6163,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144-0-0,13485.6247,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145-0-0,13487.6483,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146-0-0,13494.6262,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147-0-0,13496.5982,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148-0-0,13496.6191,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149-0-0,13502.6325,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150-0-0,13504.6412,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151-1-0,13513.6459,1.0,0,98.42,2,13513.7519,-0.1060,-8,12,6,1,1,0,0,0,72.98,A2G2F,M7
151-0-0,13513.6459,1.0,1,1.58,1,13513.7519,-0.1060,-8,11,6,2,2,0,0,0,1.58,A2G2F2,M6
152-0-0,13521.6103,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153-0-0,13522.6380,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154-0-0,13533.6506,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155-0-0,13534.6533,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156-0-0,13548.6550,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157-0-0,13557.6594,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158-1-0,13564.6900,1.1,0,100.00,1,13564.8152,-0.1252,-9,9,8,2,0,1,0,0,100.00,A2G2F2,A2G1
159-0-0,13571.6433,0.0,0,52.49,2,13571.7734,-0.1301,-10,11,7,1,2,1,0,0,30.04,M5-A1G1,A2G2F
159-1-0,13571.6433,0.0,1,40.10,2,13571.7734,-0.1301,-10,12,7,0,1,1,0,0,38.44,M6,A3G3
159-0-1,13571.6433,0.0,2,7.41,2,13571.7734,-0.1301,-10,11,7,1,2,1,0,0,6.48,M5,A3G3F
160-0-0,13572.6644,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161-2-0,13580.6869,2.4,0,99.55,2,13580.8101,-0.1232,-9,10,8,1,0,1,0,0,79.88,A2G2F,A2G2
161-2-1,13580.6869,2.4,1,0.41,2,13580.8101,-0.1232,-9,10,8,1,0,1,0,0,0.31,A1G1,A3G3F
161-1-0,13580.6869,2.4,2,0.04,1,13580.8101,-0.1232,-9,9,8,2,1,1,0,0,0.04,A2G2F2,A2G1
