ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N13,N30,O115-122,O123-133,O134-145
8-10-3,20485.2951,0.8,3,1.82,12,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,1.12,unmodified,A2S2F,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core
8-10-4,20485.2951,0.8,4,1.79,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,1.39,unmodified,A2S2F,2 x Core + 2 x S,2 x Core + 2 x S,unmodified
8-10-5,20485.2951,0.8,5,1.79,12,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,1.26,unmodified,A2S1G1F,unmodified,2 x Core + 2 x S,2 x Core + 3 x S
8-10-6,20485.2951,0.8,6,1.25,8,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.69,unmodified,A2S2F,1 x Core + 1 x S,2 x Core + 1 x S,1 x Core + 2 x S
8-10-7,20485.2951,0.8,7,1.12,12,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.39,unmodified,A2S2F,2 x Core + 2 x S,1 x Core + 2 x S,1 x Core
8-10-8,20485.2951,0.8,8,0.59,12,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.34,unmodified,A2G2F,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 2 x S
8-10-9,20485.2951,0.8,9,0.17,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.12,unmodified,A2G2F,2 x Core + 2 x S,1 x Core + 2 x S,1 x Core + 2 x S
8-10-10,20485.2951,0.8,10,0.14,8,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.09,unmodified,A2S2F,unmodified,2 x Core + 1 x S,2 x Core + 3 x S
8-10-11,20485.2951,0.8,11,0.09,12,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.05,unmodified,A2S1G1F,1 x Core,2 x Core + 3 x S,1 x Core + 2 x S
8-10-12,20485.2951,0.8,12,0.06,4,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.05,unmodified,A2S1G1F,2 x Core + 1 x S,1 x Core + 2 x S,1 x Core + 2 x S
8-10-13,20485.2951,0.8,13,0.05,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.05,unmodified,A2G2F,unmodified,2 x Core + 3 x S,2 x Core + 3 x S
8-7-0,20485.2951,0.8,14,0.04,6,20485.3630,-0.0679,-3,8,8,7,0,1,1,0,0,0.03,A2S1G0,unmodified,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 2 x S
8-10-14,20485.2951,0.8,15,0.03,3,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.02,A3S2G1F,unmodified,1 x Core + 1 x S,1 x Core + 2 x S,1 x Core + 1 x S
8-10-15,20485.2951,0.8,16,0.03,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.02,A3S3F,unmodified,unmodified,2 x Core + 2 x S,1 x Core + 1 x S
8-10-16,20485.2951,0.8,17,0.03,1,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.03,A3S3F,unmodified,1 x Core + 1 x S,1 x Core + 1 x S,1 x Core + 1 x S
8-10-17,20485.2951,0.8,18,0.02,2,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.02,unmodified,A2S2F,2 x Core,1 x Core + 2 x S,1 x Core + 2 x S
8-7-1,20485.2951,0.8,19,0.01,3,20485.3630,-0.0679,-3,8,8,7,0,1,1,0,0,0.01,A2S1G0,unmodified,2 x Core + 2 x S,1 x Core + 2 x S,1 x Core + 2 x S
8-10-18,20485.2951,0.8,20,0.01,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.01,A3S2G1F,unmodified,unmodified,2 x Core + 3 x S,1 x Core + 1 x S
8-10-19,20485.2951,0.8,21,0.01,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.01,A3S2G1F,unmodified,unmodified,2 x Core + 2 x S,1 x Core + 2 x S
8-7-2,20485.2951,0.8,22,0.00,3,20485.3630,-0.0679,-3,8,8,7,0,1,1,0,0,0.00,A2S1G0,unmodified,unmodified,2 x Core + 3 x S,2 x Core + 3 x S
8-10-20,20485.2951,0.8,23,0.00,3,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S1G2F,unmodified,1 x Core + 1 x S,1 x Core + 2 x S,1 x Core + 2 x S
8-10-21,20485.2951,0.8,24,0.00,3,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A1S1F,unmodified,2 x Core + 2 x S,2 x Core + 2 x S,1 x Core + 1 x S
8-10-22,20485.2951,0.8,25,0.00,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S3F+LacN1,unmodified,unmodified,1 x Core + 2 x S,1 x Core + 1 x S
8-10-23,20485.2951,0.8,26,0.00,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S3F,unmodified,1 x Core + 1 x S,1 x Core + 2 x S,1 x Core
8-10-24,20485.2951,0.8,27,0.00,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S1G2F,unmodified,unmodified,2 x Core + 3 x S,1 x Core + 2 x S
8-10-25,20485.2951,0.8,28,0.00,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S3F,unmodified,unmodified,2 x Core + 3 x S,1 x Core
8-7-3,20485.2951,0.8,29,0.00,6,20485.3630,-0.0679,-3,8,8,7,0,1,1,0,0,0.00,A2G1,unmodified,1 x Core + 2 x S,2 x Core + 3 x S,1 x Core + 2 x S
8-8-0,20485.2951,0.8,30,0.00,3,20485.3630,-0.0679,-3,7,8,7,1,2,1,0,0,0.00,A2G0F,unmodified,1 x Core + 2 x S,2 x Core + 3 x S,1 x Core + 2 x S
8-10-26,20485.2951,0.8,31,0.00,4,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S3F,unmodified,unmodified,2 x Core + 1 x S,1 x Core + 2 x S
8-10-27,20485.2951,0.8,32,0.00,3,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S3F+LacN1,unmodified,unmodified,unmodified,2 x Core + 3 x S
8-10-28,20485.2951,0.8,33,0.00,3,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S2G1F,unmodified,1 x Core,1 x Core + 2 x S,1 x Core + 2 x S
8-10-29,20485.2951,0.8,34,0.00,4,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A1S1F,unmodified,2 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 1 x S
8-10-30,20485.2951,0.8,35,0.00,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A1S1F,unmodified,2 x Core + 2 x S,2 x Core + 3 x S,1 x Core
8-10-31,20485.2951,0.8,36,0.00,4,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A1S1F,unmodified,2 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 2 x S
8-10-32,20485.2951,0.8,37,0.00,3,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A3S2G1F+LacN1,unmodified,unmodified,1 x Core + 2 x S,1 x Core + 2 x S
8-10-33,20485.2951,0.8,38,0.00,2,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,0.00,A1S1F,unmodified,2 x Core,2 x Core + 3 x S,1 x Core + 2 x S
9-3-0,20651.4401,0.5,0,59.65,6,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,22.07,A2G2F,A2S1G1F,1 x Core + 1 x S,unmodified,1 x Core + 1 x S
9-3-1,20651.4401,0.5,1,13.29,12,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,3.66,A2G2F,A2S2F,unmodified,1 x Core,1 x Core + 1 x S
9-3-2,20651.4401,0.5,2,12.78,6,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,3.98,A2S1G1F,A2S1G1F,unmodified,1 x Core,1 x Core + 1 x S
9-3-3,20651.4401,0.5,3,4.99,6,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,3.18,A2G2F,A2S1G1F,unmodified,2 x Core + 2 x S,unmodified
9-3-4,20651.4401,0.5,4,3.97,6,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,1.61,A2G2F,A2G2F,unmodified,1 x Core + 2 x S,1 x Core + 1 x S
9-3-5,20651.4401,0.5,5,2.27,12,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.90,A2G2F,A2S1G1F,unmodified,1 x Core + 2 x S,1 x Core
9-3-6,20651.4401,0.5,6,1.11,6,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.60,A2S1G1F,A2S2F,unmodified,1 x Core,1 x Core
9-3-7,20651.4401,0.5,7,0.58,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.41,A3S1G2F,A2S1G1F,unmodified,unmodified,1 x Core + 1 x S
9-3-8,20651.4401,0.5,8,0.34,4,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.23,A2G2F,A2S2F,unmodified,2 x Core + 1 x S,unmodified
9-3-9,20651.4401,0.5,9,0.32,2,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.25,A2S1G1F,A2S1G1F,unmodified,2 x Core + 1 x S,unmodified
9-3-10,20651.4401,0.5,10,0.25,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.13,A2G2F,A2G2F,unmodified,unmodified,2 x Core + 3 x S
9-3-11,20651.4401,0.5,11,0.16,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.12,A3S2G1F,A2G2F,unmodified,unmodified,1 x Core + 1 x S
9-3-12,20651.4401,0.5,12,0.08,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.06,A3S2G1F,A2S1G1F,unmodified,unmodified,1 x Core
9-3-13,20651.4401,0.5,13,0.08,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.06,A3S1G2F,A2S2F,unmodified,unmodified,1 x Core
9-3-14,20651.4401,0.5,14,0.05,2,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.03,A2S1G1F,A2S2F,2 x Core,unmodified,unmodified
9-3-15,20651.4401,0.5,15,0.03,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.02,A3S1G2F,A2G2F,unmodified,unmodified,1 x Core + 2 x S
9-3-16,20651.4401,0.5,16,0.02,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.01,A1S1F,A2G2F,1 x Core + 1 x S,1 x Core,1 x Core + 1 x S
9-3-17,20651.4401,0.5,17,0.01,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.01,A3S3F,A2G2F,unmodified,unmodified,1 x Core
9-3-18,20651.4401,0.5,18,0.01,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.01,A1S1F,A2S1G1F,1 x Core + 1 x S,1 x Core,1 x Core
9-3-19,20651.4401,0.5,19,0.01,6,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.01,A1S1F,A2G2F,unmodified,2 x Core + 2 x S,1 x Core
9-3-20,20651.4401,0.5,20,0.00,4,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2G2F,unmodified,2 x Core + 1 x S,1 x Core + 1 x S
9-1-0,20651.4401,0.5,21,0.00,4,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2G2,A2G1,1 x Core + 1 x S,2 x Core + 1 x S,1 x Core
9-3-21,20651.4401,0.5,22,0.00,4,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2S1G1F,unmodified,2 x Core + 1 x S,1 x Core
9-3-22,20651.4401,0.5,23,0.00,1,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A3S2G1F+LacN1,A2S1G1F,unmodified,unmodified,unmodified
9-3-23,20651.4401,0.5,24,0.00,2,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2S1G1F,2 x Core,unmodified,1 x Core + 1 x S
9-1-1,20651.4401,0.5,25,0.00,3,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2G2,A2G1,1 x Core,2 x Core + 2 x S,1 x Core
9-3-24,20651.4401,0.5,26,0.00,1,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A3S3F+LacN1,A2G2F,unmodified,unmodified,unmodified
9-1-2,20651.4401,0.5,27,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2G2,A2G1,2 x Core,1 x Core + 1 x S,1 x Core + 1 x S
9-1-3,20651.4401,0.5,28,0.00,3,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3G3,A2G1,1 x Core + 1 x S,1 x Core,1 x Core + 1 x S
9-1-4,20651.4401,0.5,29,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2S1G1,A2G1,2 x Core,1 x Core,1 x Core + 1 x S
9-1-5,20651.4401,0.5,30,0.00,6,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3G3,A2G1,unmodified,2 x Core + 2 x S,1 x Core
9-1-6,20651.4401,0.5,31,0.00,3,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3S1G2,A2G1,1 x Core + 1 x S,1 x Core,1 x Core
9-3-25,20651.4401,0.5,32,0.00,2,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2S2F,2 x Core,unmodified,1 x Core
9-1-7,20651.4401,0.5,33,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2G2,A2G1,2 x Core,2 x Core + 2 x S,unmodified
9-1-8,20651.4401,0.5,34,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2S1G1,A2G1,2 x Core + 1 x S,1 x Core,1 x Core
9-3-26,20651.4401,0.5,35,0.00,1,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2S2F,1 x Core,1 x Core,1 x Core
9-1-9,20651.4401,0.5,36,0.00,4,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3G3,A2G1,unmodified,2 x Core + 1 x S,1 x Core + 1 x S
9-3-27,20651.4401,0.5,37,0.00,3,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2G2F,1 x Core,1 x Core + 2 x S,1 x Core
9-1-10,20651.4401,0.5,38,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2G2,A2G1,2 x Core,1 x Core + 2 x S,1 x Core
9-3-28,20651.4401,0.5,39,0.00,2,20651.4722,-0.0321,-2,12,10,3,2,0,1,0,0,0.00,A1S1F,A2G2F,2 x Core,unmodified,1 x Core + 2 x S
9-1-11,20651.4401,0.5,40,0.00,4,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3S1G2,A2G1,unmodified,2 x Core + 1 x S,1 x Core
9-1-12,20651.4401,0.5,41,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3S1G2,A2G1,2 x Core,unmodified,1 x Core + 1 x S
9-1-13,20651.4401,0.5,42,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2G2,A2G1,2 x Core + 1 x S,2 x Core + 1 x S,unmodified
9-1-14,20651.4401,0.5,43,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2S2,A2G1,2 x Core,1 x Core,1 x Core
9-1-15,20651.4401,0.5,44,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A2S1G1,A2G1,2 x Core,2 x Core + 1 x S,unmodified
9-1-16,20651.4401,0.5,45,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A1G1,A2G1,2 x Core,2 x Core + 2 x S,1 x Core
9-1-17,20651.4401,0.5,46,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A1G1,A2G1,2 x Core,2 x Core + 1 x S,1 x Core + 1 x S
9-1-18,20651.4401,0.5,47,0.00,3,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3G3,A2G1,1 x Core,1 x Core + 2 x S,1 x Core
9-1-19,20651.4401,0.5,48,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3S2G1,A2G1,2 x Core,unmodified,1 x Core
9-1-20,20651.4401,0.5,49,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3S2G1,A2G1,1 x Core,1 x Core,1 x Core
9-1-21,20651.4401,0.5,50,0.00,2,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A3G3,A2G1,2 x Core,unmodified,1 x Core + 2 x S
9-1-22,20651.4401,0.5,51,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A1G1,A2G1,2 x Core + 1 x S,2 x Core + 1 x S,1 x Core
9-1-23,20651.4401,0.5,52,0.00,1,20651.4675,-0.0274,-1,13,12,2,0,1,0,0,0,0.00,A1S1,A2G1,2 x Core,2 x Core + 1 x S,1 x Core
10-8-0,20720.5343,0.3,0,53.50,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,50.58,A2S1G1,unmodified,2 x Core + 2 x S,2 x Core + 2 x S,1 x Core + 1 x S
10-8-1,20720.5343,0.3,1,12.98,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,7.00,A2G2,unmodified,1 x Core + 1 x S,2 x Core + 2 x S,2 x Core + 3 x S
10-8-2,20720.5343,0.3,2,8.01,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,6.90,A3S2G1,unmodified,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 1 x S
10-8-3,20720.5343,0.3,3,6.03,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,5.93,A2G2,unmodified,2 x Core + 2 x S,2 x Core + 2 x S,1 x Core + 2 x S
10-8-4,20720.5343,0.3,4,4.34,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,2.67,A2S2,unmodified,2 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 1 x S
10-8-5,20720.5343,0.3,5,3.36,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,3.29,A2S2,unmodified,2 x Core + 2 x S,2 x Core + 2 x S,1 x Core
10-8-6,20720.5343,0.3,6,2.41,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,1.62,A3S1G2,unmodified,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 2 x S
10-8-7,20720.5343,0.3,7,1.76,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.82,A2S1G1,unmodified,2 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 1 x S
10-8-8,20720.5343,0.3,8,1.71,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,1.01,A2S1G1,unmodified,2 x Core + 2 x S,2 x Core + 3 x S,1 x Core
10-8-9,20720.5343,0.3,9,1.70,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,1.06,A2S1G1,unmodified,2 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 2 x S
10-8-10,20720.5343,0.3,10,1.54,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,1.25,A3S1G2,unmodified,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 1 x S
10-8-11,20720.5343,0.3,11,0.43,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.27,A3S3,unmodified,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core
10-8-12,20720.5343,0.3,12,0.29,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.21,A3S1G2,unmodified,unmodified,2 x Core + 2 x S,2 x Core + 3 x S
10-8-13,20720.5343,0.3,13,0.22,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.14,A3S2G1,unmodified,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core
10-8-14,20720.5343,0.3,14,0.22,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.17,A3S2G1,unmodified,2 x Core + 2 x S,2 x Core + 2 x S,unmodified
10-8-15,20720.5343,0.3,15,0.21,2,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.20,A2S2,unmodified,2 x Core,2 x Core + 2 x S,1 x Core + 2 x S
10-8-16,20720.5343,0.3,16,0.19,2,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.16,A2S2,unmodified,2 x Core,2 x Core + 3 x S,1 x Core + 1 x S
10-8-17,20720.5343,0.3,17,0.16,2,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.13,A3S3,unmodified,1 x Core + 1 x S,2 x Core + 1 x S,1 x Core + 1 x S
10-8-18,20720.5343,0.3,18,0.15,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.09,A3S2G1,unmodified,1 x Core + 1 x S,2 x Core + 1 x S,1 x Core + 2 x S
10-8-19,20720.5343,0.3,19,0.14,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.10,A2G2,unmodified,2 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 2 x S
10-8-20,20720.5343,0.3,20,0.14,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.05,A3S2G1,unmodified,2 x Core + 2 x S,1 x Core + 2 x S,1 x Core
10-8-21,20720.5343,0.3,21,0.10,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.07,A3G3,unmodified,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 2 x S
10-8-22,20720.5343,0.3,22,0.09,2,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.06,A2S1G1,unmodified,2 x Core,2 x Core + 3 x S,1 x Core + 2 x S
10-8-23,20720.5343,0.3,23,0.08,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.05,A2S2,unmodified,2 x Core + 1 x S,2 x Core + 3 x S,1 x Core
10-8-24,20720.5343,0.3,24,0.04,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.03,A2G2,unmodified,1 x Core,2 x Core + 3 x S,2 x Core + 3 x S
10-8-25,20720.5343,0.3,25,0.03,1,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.03,A2S2,unmodified,2 x Core + 1 x S,2 x Core + 1 x S,1 x Core + 2 x S
10-8-26,20720.5343,0.3,26,0.03,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.02,A3G3,unmodified,2 x Core + 2 x S,1 x Core + 2 x S,1 x Core + 2 x S
10-8-27,20720.5343,0.3,27,0.02,1,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.02,A1G1,unmodified,2 x Core + 2 x S,2 x Core + 2 x S,2 x Core + 2 x S
10-8-28,20720.5343,0.3,28,0.02,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.01,A3S2G1,unmodified,unmodified,2 x Core + 1 x S,2 x Core + 3 x S
10-8-29,20720.5343,0.3,29,0.01,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.01,A1G1,unmodified,2 x Core + 1 x S,2 x Core + 2 x S,2 x Core + 3 x S
10-8-30,20720.5343,0.3,30,0.01,6,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.01,A3S1G2,unmodified,1 x Core,2 x Core + 3 x S,1 x Core + 2 x S
10-8-31,20720.5343,0.3,31,0.01,3,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.01,A4S4,unmodified,1 x Core + 1 x S,1 x Core,1 x Core + 1 x S
10-8-32,20720.5343,0.3,32,0.01,2,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.01,A3S1G2,unmodified,2 x Core + 1 x S,1 x Core + 2 x S,1 x Core + 2 x S
10-8-33,20720.5343,0.3,33,0.01,4,20720.4526,0.0817,4,10,9,6,0,1,0,0,0,0.01,A3S3,unmodified,2 x Core + 1 x S,2 x Core + 2 x S,unmodified
